Experiment date,Setup ID,Experiment Name,Male flye type,Male DOB,Male days old,Female fly type,Female DOB,Female days old,Temperature,Humidity,Comments,Proofread Status,Notes,Exclude(?) 
2023-05-12,Left,20230512_153214,NM91,2023-05-08,4,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-05,7,23,40%,Camera frozen,skipped ,,
2023-05-12,Right,20230512_153214,NM91,2023-05-08,4,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-05,7,23,40%,"sigma coat is not painted well, discard this ",skipped ,,
2023-05-12,Left,20230512_163844,NM91,2023-05-08,4,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-05,7,23,40%,Camera frozen,skipped ,,
2023-05-12,Right,20230512_163844,NM91,2023-05-08,4,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-05,7,23,40%,"sigma coat is not painted well, discard this ",skipped ,,
2023-05-15,Left,20230515_111851,NM91,2023-05-10,5,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-10,5,23.5,37%,wing is damaged,skipped ,,
2023-05-15,Right,20230515_111851,NM91,2023-05-10,5,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-10,5,23.5,37%,Camera frozen,skipped ,,
2023-05-15,Left,20230515_130717,NM91,2023-05-10,5,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-11,4,23.5,40%,,complete,,
2023-05-15,Right,20230515_130717,NM91,2023-05-11,4,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-11,4,23.5,40%,The video length is shorter ,complete,not much singing,
2023-05-15,Left,20230515_162806,NM91,2023-05-11,4,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-10,5,23.5,40%,"not much courtship behavior, sigma coat seem to dry off, fly is able to walk upside down at the end",complete,"not much singing, camera is not very clear ",
2023-05-15,Right,20230515_162806,NM91,2023-05-10,5,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-10,5,23.5,40%,,complete,,
2023-05-16,Left,20230516_110613,NM91,2023-05-10,6,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-10,6,23.5,40%,not sure why the wing angle is small,complete,,
2023-05-16,Right,20230516_110613,NM91,2023-05-10,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-10,6,23.5,40%,,complete,camera is clearer (sigma coat would make the camera blurry!) ,
2023-05-16,Left,20230516_114205,NM91,2023-05-10,6,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-10,6,23.5,40%,"lots of grooming, copulate very fast ",complete,,
2023-05-16,Right,20230516_114205,NM91,2023-05-10,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,"lots of singing, but a third fly got into the chamber near the end",complete,discard this? I deleted all the predictions after a third fly comes in (around 2 thirds of the video) ,
2023-05-16,Left,20230516_121910,NM91,2023-05-10,6,lexAOP-Flp/UAS>stop>TNT;R42B01-Gal4/dsx-lexA,2023-05-10,6,23.5,40%,not much singing/chasing,complete,,
2023-05-16,Right,20230516_121910,NM91,2023-05-10,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,,complete,,
2023-05-16,Left,20230516_150416,NM91,2023-05-11,5,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,"running out of flies for tnt, so only run control flies for this session ",complete,,
2023-05-16,Right,20230516_150416,NM91,2023-05-11,5,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,,complete,,
2023-05-16,Left,20230516_154333,NM91,2023-05-11,5,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,,complete,,
2023-05-16,Right,20230516_154333,NM91,2023-05-10,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,,complete,,
2023-05-16,Left,20230516_161658,NM91,2023-05-11,5,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,22.9,33%,,complete,,
2023-05-16,Right,20230516_161658,NM91,2023-05-10,6,lexAOP-Flp/+;R42B01-Gal4/dsx-lexA,2023-05-12,4,23.5,40%,,complete,,
