,expt,rig,exptName,exptDate,maleGT,maleDOB,maleAge,femaleGT,femaleDOB,femaleAge,cop,copFrame,exptpath,songpath,datapath
6,20230515_130717,left,20230515_130717left,2023-05-15,NM91,2023-05-10,5,pc2_tnt,2023-05-11,4,1,47470,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230515_130717/left/20230515_130717left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230515_130717/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230515_130717/left/vSampleNumber_at_Frame.h5"
7,20230515_130717,right,20230515_130717right,2023-05-15,NM91,2023-05-11,4,pc2_control,2023-05-11,4,1,102841,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230515_130717/right/20230515_130717right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230515_130717/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230515_130717/right/vSampleNumber_at_Frame.h5"
8,20230515_162806,left,20230515_162806left,2023-05-15,NM91,2023-05-11,4,pc2_tnt,2023-05-10,5,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230515_162806/left/20230515_162806left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230515_162806/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230515_162806/left/vSampleNumber_at_Frame.h5"
9,20230515_162806,right,20230515_162806right,2023-05-15,NM91,2023-05-10,5,pc2_control,2023-05-10,5,1,11021,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230515_162806/right/20230515_162806right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230515_162806/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230515_162806/right/vSampleNumber_at_Frame.h5"
10,20230516_110613,left,20230516_110613left,2023-05-16,NM91,2023-05-10,6,pc2_tnt,2023-05-10,6,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_110613/left/20230516_110613left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_110613/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_110613/left/vSampleNumber_at_Frame.h5"
11,20230516_110613,right,20230516_110613right,2023-05-16,NM91,2023-05-10,6,pc2_control,2023-05-10,6,1,23573,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_110613/right/20230516_110613right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_110613/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_110613/right/vSampleNumber_at_Frame.h5"
12,20230516_114205,left,20230516_114205left,2023-05-16,NM91,2023-05-10,6,pc2_tnt,2023-05-10,6,1,28192,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_114205/left/20230516_114205left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_114205/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_114205/left/vSampleNumber_at_Frame.h5"
13,20230516_114205,right,20230516_114205right,2023-05-16,NM91,2023-05-10,6,pc2_control,2023-05-12,4,1,79441,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_114205/right/20230516_114205right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_114205/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_114205/right/vSampleNumber_at_Frame.h5"
14,20230516_121910,left,20230516_121910left,2023-05-16,NM91,2023-05-10,6,pc2_tnt,2023-05-10,6,0,NaN,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_121910/left/20230516_121910left.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_121910/left/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_121910/left/vSampleNumber_at_Frame.h5"
15,20230516_121910,right,20230516_121910right,2023-05-16,NM91,2023-05-10,6,pc2_control,2023-05-12,4,1,52398,"/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_121910/right/20230516_121910right.h5","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_121910/right/sInf_params_new16mic.mat","/run/user/1000/gvfs/smb-share:server=cup.pni.princeton.edu,share=murthy/Kyle/flies/pc2l_tnt/20230516_121910/right/vSampleNumber_at_Frame.h5"
